epoch,train_loss,train_acc,val_loss,val_acc
1,1.029598536538989,0.6595274124083343,0.8010258881942086,0.7547554347826086
2,0.5754889445246036,0.8021184961005704,0.5016356810279514,0.8430706521739131
3,0.465949943777208,0.8373879641485276,0.44263876521069073,0.8532608695652174
4,0.39352242826041733,0.8605517401932254,0.47487278088279394,0.8383152173913043
5,0.3355074836119633,0.8856943312769177,0.4534357656603274,0.8471467391304348
6,0.32568865460652074,0.8852287277383308,0.44205689430236816,0.8586956521739131
7,0.2607212050137871,0.9092073099755558,0.3550065418948298,0.8838315217391305
8,0.2329024665067199,0.91793737632406,0.5256507163462432,0.8573369565217391
9,0.21409515652490319,0.9208473984402281,0.34192660191784735,0.8960597826086957
10,0.1736692854849063,0.937725526714003,0.3264678094698035,0.8899456521739131
11,0.14651047657711683,0.9471539983703876,0.30504834263221076,0.9028532608695652
12,0.12941126212670215,0.9504132231404959,0.3543196929537732,0.9028532608695652
13,0.10822046843948527,0.9612385054126411,0.3677557544863742,0.9055706521739131
14,0.09509774163138143,0.9633337213362821,0.3389400127141372,0.8994565217391305
15,0.08426040570006536,0.9681061576067979,0.3205452703911325,0.9069293478260869
16,0.07196040088580771,0.9722965894540798,0.30055268173632416,0.9252717391304348
17,0.0651827891238104,0.9745082062623676,0.32102007710415387,0.9157608695652174
18,0.055668970339387024,0.9788150389942963,0.31809105821277783,0.9150815217391305
19,0.0438876993344502,0.9842858805726924,0.3140450929817946,0.9177989130434783
20,0.04586577708945121,0.9837038761494588,0.32044588936411816,0.9164402173913043
