epoch,train_loss,train_acc,val_loss,val_acc
1,2.204416156269255,0.3323809523809524,1.557004367737543,0.5095238095238095
2,1.113503628004165,0.6257142857142857,1.088960980233692,0.6666666666666666
3,0.7874567398570833,0.7390476190476191,1.007828072139195,0.7142857142857143
4,0.6050897220202854,0.8028571428571428,0.8922350679125105,0.7238095238095238
5,0.3731762173629942,0.8685714285714285,0.98761461575826,0.6857142857142857
6,0.2921503248101189,0.9019047619047619,0.9255870864504859,0.7285714285714285
7,0.2128292012782324,0.9314285714285714,0.8396291011855715,0.780952380952381
8,0.1712549310709749,0.94,0.7252082205954052,0.8095238095238095
9,0.11769910031840915,0.9657142857142857,0.7069389683859689,0.8333333333333334
10,0.1086591580793971,0.9666666666666667,0.6907818782897223,0.8285714285714286
