epoch,train_loss,train_acc,val_loss,val_acc
1,1.3287058682339858,0.6137981831573779,0.704274414049699,0.7825503355704698
2,0.5509834354526136,0.823962681070464,0.5337885155773803,0.8322147651006712
3,0.40497505086778923,0.86938374662411,0.47189558688426175,0.8523489932885906
4,0.3045677121371038,0.9010557328750307,0.5760667090447957,0.8241610738255034
5,0.277860531196997,0.9054750797937638,0.42107939544140094,0.8738255033557047
6,0.2123976087734092,0.9329732383992143,0.462969592833679,0.8630872483221477
7,0.18196358847992736,0.9459857598821507,0.43688068597908786,0.8657718120805369
8,0.16011505474293228,0.9489319911613061,0.4277241218010051,0.876510067114094
9,0.14748529445589423,0.9558065308126688,0.4135735334165944,0.8912751677852349
10,0.13410730058134787,0.9626810704640314,0.4127203046875512,0.8885906040268456
