epoch,train_loss,train_acc,val_loss,val_acc
1,2.232154830750965,0.3523809523809524,1.4995047421682448,0.6047619047619047
2,0.9685660153343564,0.7028571428571428,1.144727921485901,0.6619047619047619
3,0.6552315071650914,0.7847619047619048,0.9384047156288511,0.7095238095238096
4,0.42467640831356956,0.8657142857142858,0.8285781111036028,0.7619047619047619
5,0.3297978441488175,0.8857142857142857,0.8774336951119559,0.7619047619047619
6,0.24949197803224837,0.919047619047619,0.8928501645723979,0.7761904761904762
7,0.2002588805982045,0.94,0.7517031743412926,0.8142857142857143
8,0.16598613316104527,0.9628571428571429,0.7386047414370945,0.8285714285714286
9,0.15268612504005433,0.960952380952381,0.8012068277313595,0.8095238095238095
10,0.11455581673554012,0.9733333333333334,0.7720074653625488,0.819047619047619
