epoch,train_loss,train_acc,val_loss,val_acc
1,1.2906326665329224,0.5904738521973975,1.1029433458443456,0.687248322147651
2,0.7282089686147885,0.7625828627547262,0.850297010344947,0.72751677852349
3,0.5109496483514796,0.8328013749079303,0.6693071632577269,0.8093959731543624
4,0.4550454319328282,0.8421311072919224,0.5666423958419954,0.8389261744966443
5,0.33282213785593906,0.8870611342990424,0.5284013667362648,0.8375838926174497
6,0.24064927399085306,0.9111220230788117,0.6418270578320394,0.836241610738255
7,0.1871610842441663,0.9332187576724773,0.5687813249210383,0.8590604026845637
8,0.14018409976700497,0.9486864718880432,0.5083933763856056,0.8751677852348994
9,0.12595120353339317,0.9543334151730911,0.4602859840297059,0.8751677852348994
10,0.10273789440659203,0.9658728210164498,0.4631308893229337,0.8738255033557047
